index,x,y
0,100,360
1,100,380
2,100,400
3,120,260
4,120,400
5,120,420
6,120,440
7,140,180
8,140,200
9,140,240
10,140,260
11,160,160
12,160,180
13,160,240
14,160,260
15,180,120
16,180,140
17,180,160
18,200,120
19,200,140
20,200,180
21,200,200
22,200,220
23,220,160
24,220,180
25,220,200
26,240,160
27,240,180
28,240,360
29,240,380
30,260,100
31,260,120
32,260,380
33,260,540
34,280,80
35,280,100
36,280,160
37,280,400
38,280,540
39,300,180
40,300,300
41,300,540
42,300,560
43,320,80
44,320,180
45,320,260
46,320,300
47,320,480
48,320,500
49,340,100
50,340,260
51,340,480
52,360,120
53,360,180
54,360,360
55,360,380
56,360,400
57,380,160
58,380,220
59,380,360
60,380,380
61,400,200
62,400,220
63,420,220
64,420,240
65,440,120
66,440,140
67,440,220
68,440,240
69,480,40
70,480,60
