index,x,y,graph_id
0,100.0,360.0,78
1,100.0,380.0,79
2,100.0,400.0,80
3,120.0,260.0,81
4,120.0,400.0,82
5,120.0,420.0,83
6,120.0,440.0,84
7,140.0,180.0,85
8,140.0,200.0,86
9,140.0,240.0,87
10,140.0,260.0,88
11,160.0,160.0,89
12,160.0,180.0,90
13,160.0,240.0,91
14,160.0,260.0,92
15,180.0,120.0,93
16,180.0,140.0,94
17,180.0,160.0,95
18,200.0,120.0,96
19,200.0,140.0,97
20,200.0,180.0,98
21,200.0,200.0,99
22,200.0,220.0,100
23,220.0,160.0,101
24,220.0,180.0,102
25,220.0,200.0,103
26,240.0,160.0,104
27,240.0,180.0,105
28,240.0,360.0,106
29,240.0,380.0,107
30,260.0,100.0,108
31,260.0,120.0,109
32,260.0,380.0,110
33,260.0,540.0,111
34,280.0,80.0,112
35,280.0,100.0,113
36,280.0,160.0,114
37,280.0,400.0,115
38,280.0,540.0,116
39,300.0,180.0,117
40,300.0,300.0,118
41,300.0,540.0,119
42,300.0,560.0,120
43,320.0,80.0,121
44,320.0,180.0,122
45,320.0,260.0,123
46,320.0,300.0,124
47,320.0,480.0,125
48,320.0,500.0,126
49,340.0,100.0,127
50,340.0,260.0,128
51,340.0,480.0,129
52,360.0,120.0,130
53,360.0,180.0,131
54,360.0,360.0,132
55,360.0,380.0,133
56,360.0,400.0,134
57,380.0,160.0,135
58,380.0,220.0,136
59,380.0,360.0,137
60,380.0,380.0,138
61,400.0,200.0,139
62,400.0,220.0,140
63,420.0,220.0,141
64,420.0,240.0,142
65,440.0,120.0,143
66,440.0,140.0,144
67,440.0,220.0,145
68,440.0,240.0,146
69,480.0,40.0,147
70,480.0,60.0,148
