tutor_id,building_id,floor,x,y,source_point_id,source_floor
0,0,1,240.7667601507961,265.3081411991041,225,1
1,0,2,240.5642467958958,265.2995080968067,241,2
2,0,3,243.73399663337514,266.2589904076193,72,3
3,0,4,242.58221359603513,271.0346917725664,149,4
4,0,5,246.73938831001135,273.5720157518086,269,5
5,0,6,240.9515435133063,264.4085089657798,231,6
6,1,1,334.74187420252895,327.1697364531105,83,1
7,1,2,331.8193166180112,322.4380241395786,20,2
8,1,3,332.91297118276066,326.02578895079836,280,3
9,1,4,333.8447153548267,324.39393454371276,145,4
10,1,5,333.84345006586824,322.1849107165866,92,5
11,1,6,334.7825545732108,325.112061885495,1,6
12,1,7,337.13128231875737,325.50298054366027,248,7
13,2,1,384.3896158747166,272.31765488412924,211,1
14,2,2,385.83593268689907,274.89481468686,183,2
15,2,3,398.2576311914217,279.214239598667,184,3
16,2,4,386.1822722647119,277.9896331690226,177,4
17,2,5,382.2672540367928,269.315470899713,258,5
18,2,6,393.867890018323,279.5948390833118,212,6
19,2,7,385.6823190343474,277.9016346267139,288,7
20,3,1,301.2058584363953,206.13811425558018,100,1
21,3,2,303.1062980840993,207.55994937911527,4,2
22,3,3,303.8964653123429,204.98500457908284,147,3
23,3,4,303.8918345964819,203.9147649737116,370,4
24,3,5,300.6333901711212,204.1289119225215,344,5
25,3,6,295.6332194701931,204.657539632026,232,6
26,3,7,302.4453752736797,207.28237373913146,183,7
27,4,1,293.43656819557077,269.04832889796745,126,1
28,4,2,295.57968427005596,264.86421212846545,41,2
29,4,3,297.1499143648695,268.0309368181952,381,3
30,4,4,294.3623131593753,271.49035307798493,358,4
31,4,5,296.75193045707925,267.57340176302597,33,5
32,4,6,296.4121913944448,265.432807851015,359,6
33,4,7,295.6028846252938,267.5096823814513,390,7
34,5,1,320.4996108325982,124.7662125590584,254,1
35,5,2,310.84445655889164,149.7879126576268,26,2
36,5,3,314.216555322611,121.70652983240132,7,3
37,5,4,305.0140341134123,143.42294454673535,236,4
38,5,5,305.9305252978586,144.3001650141155,28,5
39,5,6,325.6897930401159,125.55250014447017,132,6
40,5,7,312.74620731777486,147.76411728289906,200,7
41,6,1,447.8280328151034,181.71991090754955,72,1
42,6,2,449.37499498056707,185.77752877931275,382,2
43,6,3,444.36383546717474,185.02003089944373,76,3
44,6,4,449.33058874564693,179.77282826010776,290,4
45,6,5,447.8892839020283,185.23294847645593,197,5
46,6,6,447.36948354851745,185.1632093906566,340,6
47,6,7,446.56315681680206,185.599887545565,8,7
48,7,1,477.88030105553094,147.92794898124734,123,1
49,7,2,481.0144782120043,144.79485494368208,538,2
50,7,3,477.29626577754186,145.99944232582092,286,3
51,7,4,481.4875377726838,148.78459074535346,34,4
52,7,5,480.84442916506646,148.1679163113681,393,5
53,7,6,477.8252253135734,145.13424880897975,449,6
54,7,7,481.86032165871114,144.1951648904532,461,7
55,8,1,459.5568119712593,97.02667063234642,342,1
56,8,2,465.49636463806894,98.9823035437802,27,2
57,8,3,457.9552548080527,95.09121894964592,122,3
58,8,4,460.02293109350364,96.65459860982902,50,4
59,8,5,455.8837714248692,99.9010572338,7,5
60,8,6,460.7666778102844,100.47910808400196,277,6
61,9,1,513.2712603752735,81.74046611627125,385,1
62,9,2,505.7137173841936,90.34792021966678,439,2
63,9,3,506.8951270179417,90.34872120768371,396,3
64,9,4,509.42857362667485,84.66042720191366,205,4
65,9,5,508.96460201229854,85.27148856523915,133,5
66,9,6,511.5850549716698,79.48575155332308,137,6
67,9,7,510.71097430895924,83.5788484909033,444,7
68,10,1,189.62551321130476,461.882165501378,464,1
69,10,2,197.62094625341572,462.9640713667576,135,2
70,10,3,192.0457526147349,462.12462074614916,196,3
71,10,4,192.80839185940232,462.1985475674012,281,4
72,10,5,195.549544099781,465.40862113150797,98,5
73,10,6,188.26984989662262,464.04860495511855,282,6
74,10,7,188.89808019854047,460.5718461455697,194,7
75,10,8,189.01373945717503,459.82763955575257,564,8
76,10,9,191.41682995980887,467.71123476409844,452,9
77,10,10,189.2724449485874,463.5039354549537,7,10
78,10,11,185.74320408964334,464.9968643719722,377,11
79,10,12,185.6439937508925,456.5749634333303,458,12
80,10,13,185.38180919503452,467.1022863279373,266,13
81,11,1,173.2686691766835,407.6201056213154,461,1
82,11,2,173.6233880018379,407.5757302650392,124,2
83,11,3,173.69302817323137,416.5085694647569,323,3
84,11,4,166.84711233067347,404.2603858411031,128,4
85,11,5,169.87078113577533,404.8154832636695,39,5
86,11,6,173.71137834802605,410.05175112879675,390,6
87,11,7,174.002824055791,409.81545692271266,78,7
88,12,1,277.2440950657333,517.5108930107482,329,1
89,12,2,278.75181550320576,512.4209011742987,204,2
90,12,3,274.2592412485516,513.1192516617948,387,3
91,12,4,283.2226944787382,515.9738480888899,347,4
92,12,5,276.2189840640785,512.7266186663869,96,5
93,12,6,279.0891777172045,518.8501085318888,102,6
94,12,7,278.0611053664254,514.1614128671147,462,7
95,12,8,278.096336900634,516.132421138102,241,8
96,12,9,274.97074496933993,516.3415460762193,31,9
97,12,10,283.3948125451468,513.3726324790888,124,10
98,12,11,277.04430773200886,516.5865031045156,235,11
99,12,12,276.8407915153322,513.7910853845791,258,12
100,13,1,291.05427078925317,468.3581075860497,27,1
101,13,2,291.5284837210479,462.11332465272324,28,2
102,13,3,292.3809290853402,463.10639166277144,25,3
103,13,4,290.87514177015566,461.37915658624337,419,4
104,13,5,289.7603477280455,457.7939303222597,187,5
105,13,6,296.1732783210612,464.40563577102887,21,6
106,13,7,289.8915122645316,459.62514634870575,450,7
