# GA run_dir=experiments/ga_shelter/20260311-103058_e3b8941a
#S1 0.380, 0.40, ngen=200 pop_n=70 tournsize=3
gen=0 nevals=70 stats={'avg': np.float64(289.4142857142857), 'std': np.float64(13.982124156163374), 'min': np.float64(249.0), 'max': np.float64(301.0)} top3=[([22, 60, 38, 31, 64, 46], (249.0,)), ([63, 21, 10, 59, 58, 68], (251.0,)), ([59, 26, 64, 39, 37, 33], (252.0,))] overall_top3=[([22, 60, 38, 31, 64, 46], (249.0,), 0), ([63, 21, 10, 59, 58, 68], (251.0,), 0), ([59, 26, 64, 39, 37, 33], (252.0,), 0)]
gen=1 nevals=46 stats={'avg': np.float64(280.84285714285716), 'std': np.float64(14.72183578836525), 'min': np.float64(251.0), 'max': np.float64(300.0)} top3=[([63, 21, 10, 59, 58, 68], (251.0,)), ([63, 21, 10, 59, 58, 68], (251.0,)), ([59, 26, 64, 39, 37, 33], (252.0,))] overall_top3=[([22, 60, 38, 31, 64, 46], (249.0,), 0), ([63, 21, 10, 59, 58, 68], (251.0,), 0), ([59, 26, 64, 39, 37, 33], (252.0,), 0)]
gen=2 nevals=43 stats={'avg': np.float64(273.51428571428573), 'std': np.float64(16.31103295068609), 'min': np.float64(251.0), 'max': np.float64(301.0)} top3=[([63, 21, 10, 59, 58, 68], (251.0,)), ([63, 21, 10, 59, 58, 68], (251.0,)), ([63, 21, 10, 59, 58, 68], (251.0,))] overall_top3=[([22, 60, 38, 31, 64, 46], (249.0,), 0), ([63, 21, 10, 59, 58, 68], (251.0,), 0), ([59, 26, 64, 39, 37, 33], (252.0,), 0)]
gen=3 nevals=43 stats={'avg': np.float64(264.5571428571429), 'std': np.float64(16.368642246062798), 'min': np.float64(247.0), 'max': np.float64(300.0)} top3=[([38, 44, 63, 29, 33, 46], (247.0,)), ([63, 22, 10, 59, 58, 68], (251.0,)), ([63, 21, 10, 59, 58, 68], (251.0,))] overall_top3=[([38, 44, 63, 29, 33, 46], (247.0,), 3), ([22, 60, 38, 31, 64, 46], (249.0,), 0), ([63, 21, 10, 59, 58, 68], (251.0,), 0)]
gen=4 nevals=37 stats={'avg': np.float64(256.25714285714287), 'std': np.float64(12.22139308669809), 'min': np.float64(247.0), 'max': np.float64(300.0)} top3=[([38, 44, 63, 29, 33, 46], (247.0,)), ([63, 21, 10, 59, 58, 68], (251.0,)), ([63, 21, 10, 59, 58, 68], (251.0,))] overall_top3=[([38, 44, 63, 29, 33, 46], (247.0,), 3), ([22, 60, 38, 31, 64, 46], (249.0,), 0), ([63, 21, 10, 59, 58, 68], (251.0,), 0)]
gen=5 nevals=50 stats={'avg': np.float64(255.2), 'std': np.float64(12.711749345726236), 'min': np.float64(247.0), 'max': np.float64(301.0)} top3=[([38, 44, 63, 29, 33, 46], (247.0,)), ([63, 21, 10, 59, 58, 68], (251.0,)), ([63, 21, 10, 59, 58, 68], (251.0,))] overall_top3=[([38, 44, 63, 29, 33, 46], (247.0,), 3), ([22, 60, 38, 31, 64, 46], (249.0,), 0), ([63, 21, 10, 59, 58, 68], (251.0,), 0)]
gen=6 nevals=40 stats={'avg': np.float64(254.88571428571427), 'std': np.float64(12.123817005197257), 'min': np.float64(251.0), 'max': np.float64(300.0)} top3=[([63, 21, 10, 59, 58, 68], (251.0,)), ([63, 21, 33, 59, 58, 68], (251.0,)), ([63, 21, 10, 59, 58, 68], (251.0,))] overall_top3=[([38, 44, 63, 29, 33, 46], (247.0,), 3), ([22, 60, 38, 31, 64, 46], (249.0,), 0), ([63, 21, 10, 59, 58, 68], (251.0,), 0)]
gen=7 nevals=39 stats={'avg': np.float64(253.28571428571428), 'std': np.float64(8.95886290160732), 'min': np.float64(251.0), 'max': np.float64(300.0)} top3=[([63, 21, 10, 59, 58, 68], (251.0,)), ([63, 21, 10, 59, 58, 68], (251.0,)), ([63, 21, 10, 59, 58, 68], (251.0,))] overall_top3=[([38, 44, 63, 29, 33, 46], (247.0,), 3), ([22, 60, 38, 31, 64, 46], (249.0,), 0), ([63, 21, 10, 59, 58, 68], (251.0,), 0)]
gen=8 nevals=39 stats={'avg': np.float64(254.07142857142858), 'std': np.float64(11.437184254591223), 'min': np.float64(251.0), 'max': np.float64(300.0)} top3=[([63, 21, 10, 59, 58, 68], (251.0,)), ([63, 21, 10, 59, 58, 68], (251.0,)), ([63, 21, 10, 59, 58, 68], (251.0,))] overall_top3=[([38, 44, 63, 29, 33, 46], (247.0,), 3), ([22, 60, 38, 31, 64, 46], (249.0,), 0), ([63, 21, 10, 59, 58, 68], (251.0,), 0)]
gen=9 nevals=44 stats={'avg': np.float64(255.85714285714286), 'std': np.float64(13.49633359131891), 'min': np.float64(251.0), 'max': np.float64(300.0)} top3=[([63, 21, 10, 59, 58, 68], (251.0,)), ([63, 21, 10, 59, 58, 68], (251.0,)), ([63, 21, 10, 59, 58, 68], (251.0,))] overall_top3=[([38, 44, 63, 29, 33, 46], (247.0,), 3), ([22, 60, 38, 31, 64, 46], (249.0,), 0), ([63, 21, 10, 59, 58, 68], (251.0,), 0)]
gen=10 nevals=43 stats={'avg': np.float64(254.57142857142858), 'std': np.float64(11.198943098820184), 'min': np.float64(251.0), 'max': np.float64(300.0)} top3=[([63, 38, 33, 59, 58, 68], (251.0,)), ([63, 21, 10, 59, 58, 68], (251.0,)), ([63, 21, 10, 59, 58, 68], (251.0,))] overall_top3=[([38, 44, 63, 29, 33, 46], (247.0,), 3), ([22, 60, 38, 31, 64, 46], (249.0,), 0), ([63, 21, 10, 59, 58, 68], (251.0,), 0)]
