# GA run_dir=experiments/ga_shelter/20260311-112311_85911e49
#S3 0.380, 0.40, ngen=200 pop_n=70 tournsize=3
gen=0 nevals=70 stats={'avg': np.float64(297.54285714285714), 'std': np.float64(10.763278462685342), 'min': np.float64(225.0), 'max': np.float64(300.0)} top3=[([62, 52, 55, 46, 48, 1], (225.0,)), ([41, 42, 31, 53, 27, 46], (257.0,)), ([48, 43, 41, 40, 18, 52], (276.0,))] overall_top3=[([62, 52, 55, 46, 48, 1], (225.0,), 0), ([41, 42, 31, 53, 27, 46], (257.0,), 0), ([48, 43, 41, 40, 18, 52], (276.0,), 0)]
gen=1 nevals=52 stats={'avg': np.float64(295.51428571428573), 'std': np.float64(14.300592252613534), 'min': np.float64(222.0), 'max': np.float64(300.0)} top3=[([33, 17, 0, 35, 29, 52], (222.0,)), ([62, 52, 55, 46, 48, 1], (225.0,)), ([41, 42, 31, 53, 27, 46], (257.0,))] overall_top3=[([33, 17, 0, 35, 29, 52], (222.0,), 1), ([62, 52, 55, 46, 48, 1], (225.0,), 0), ([41, 42, 31, 53, 27, 46], (257.0,), 0)]
gen=2 nevals=47 stats={'avg': np.float64(294.12857142857143), 'std': np.float64(17.034353045345437), 'min': np.float64(221.0), 'max': np.float64(300.0)} top3=[([33, 49, 0, 35, 29, 52], (221.0,)), ([33, 17, 0, 35, 29, 52], (222.0,)), ([33, 17, 0, 35, 29, 52], (222.0,))] overall_top3=[([33, 49, 0, 35, 29, 52], (221.0,), 2), ([33, 17, 0, 35, 29, 52], (222.0,), 1), ([62, 52, 55, 46, 48, 1], (225.0,), 0)]
gen=3 nevals=54 stats={'avg': np.float64(289.51428571428573), 'std': np.float64(23.4999956578372), 'min': np.float64(221.0), 'max': np.float64(300.0)} top3=[([33, 49, 0, 35, 29, 52], (221.0,)), ([33, 49, 0, 35, 29, 52], (221.0,)), ([33, 17, 0, 35, 29, 52], (222.0,))] overall_top3=[([33, 49, 0, 35, 29, 52], (221.0,), 2), ([33, 17, 0, 35, 29, 52], (222.0,), 1), ([62, 52, 55, 46, 48, 1], (225.0,), 0)]
gen=4 nevals=46 stats={'avg': np.float64(277.8142857142857), 'std': np.float64(30.55687570844285), 'min': np.float64(221.0), 'max': np.float64(300.0)} top3=[([33, 49, 0, 35, 29, 52], (221.0,)), ([33, 49, 0, 35, 29, 52], (221.0,)), ([33, 49, 0, 35, 29, 52], (221.0,))] overall_top3=[([33, 49, 0, 35, 29, 52], (221.0,), 2), ([33, 17, 0, 35, 29, 52], (222.0,), 1), ([62, 52, 55, 46, 48, 1], (225.0,), 0)]
gen=5 nevals=39 stats={'avg': np.float64(250.37142857142857), 'std': np.float64(32.699135606125054), 'min': np.float64(221.0), 'max': np.float64(300.0)} top3=[([33, 49, 0, 35, 29, 52], (221.0,)), ([33, 49, 0, 35, 29, 52], (221.0,)), ([33, 49, 0, 35, 29, 52], (221.0,))] overall_top3=[([33, 49, 0, 35, 29, 52], (221.0,), 2), ([33, 17, 0, 35, 29, 52], (222.0,), 1), ([62, 52, 55, 46, 48, 1], (225.0,), 0)]
gen=6 nevals=40 stats={'avg': np.float64(229.85), 'std': np.float64(21.575341414282583), 'min': np.float64(221.0), 'max': np.float64(300.0)} top3=[([33, 49, 0, 35, 29, 52], (221.0,)), ([33, 49, 0, 35, 29, 52], (221.0,)), ([33, 49, 0, 35, 29, 52], (221.0,))] overall_top3=[([33, 49, 0, 35, 29, 52], (221.0,), 2), ([33, 17, 0, 35, 29, 52], (222.0,), 1), ([62, 52, 55, 46, 48, 1], (225.0,), 0)]
gen=7 nevals=45 stats={'avg': np.float64(223.45714285714286), 'std': np.float64(13.133039811630722), 'min': np.float64(221.0), 'max': np.float64(300.0)} top3=[([33, 49, 0, 35, 29, 52], (221.0,)), ([33, 49, 0, 35, 29, 52], (221.0,)), ([33, 49, 0, 35, 29, 52], (221.0,))] overall_top3=[([33, 49, 0, 35, 29, 52], (221.0,), 2), ([33, 17, 0, 35, 29, 52], (222.0,), 1), ([62, 52, 55, 46, 48, 1], (225.0,), 0)]
gen=8 nevals=46 stats={'avg': np.float64(234.37142857142857), 'std': np.float64(29.39104403364663), 'min': np.float64(221.0), 'max': np.float64(300.0)} top3=[([33, 49, 0, 35, 29, 52], (221.0,)), ([33, 49, 0, 35, 29, 52], (221.0,)), ([33, 49, 0, 35, 29, 52], (221.0,))] overall_top3=[([33, 49, 0, 35, 29, 52], (221.0,), 2), ([33, 17, 0, 35, 29, 52], (222.0,), 1), ([62, 52, 55, 46, 48, 1], (225.0,), 0)]
gen=9 nevals=43 stats={'avg': np.float64(228.8), 'std': np.float64(23.747842007222474), 'min': np.float64(214.0), 'max': np.float64(300.0)} top3=[([33, 49, 0, 35, 56, 52], (214.0,)), ([33, 49, 0, 35, 29, 52], (221.0,)), ([33, 49, 0, 14, 29, 52], (221.0,))] overall_top3=[([33, 49, 0, 35, 56, 52], (214.0,), 9), ([33, 49, 0, 35, 29, 52], (221.0,), 2), ([33, 49, 0, 14, 29, 52], (221.0,), 9)]
gen=10 nevals=45 stats={'avg': np.float64(226.54285714285714), 'std': np.float64(20.390253774281277), 'min': np.float64(214.0), 'max': np.float64(300.0)} top3=[([33, 49, 0, 35, 56, 52], (214.0,)), ([33, 49, 0, 35, 29, 52], (221.0,)), ([33, 49, 0, 14, 29, 52], (221.0,))] overall_top3=[([33, 49, 0, 35, 56, 52], (214.0,), 9), ([33, 49, 0, 35, 29, 52], (221.0,), 2), ([33, 49, 0, 14, 29, 52], (221.0,), 9)]
