# GA run_dir=experiments/ga_shelter/20260311-152153_0035b64b
#S2 0.380, 0.40, ngen=200 pop_n=70 tournsize=3
gen=0 nevals=70 stats={'avg': np.float64(297.0), 'std': np.float64(7.527093918448398), 'min': np.float64(264.0), 'max': np.float64(300.0)} top3=[([23, 44, 6, 35, 15, 42], (264.0,)), ([46, 4, 26, 30, 32, 41], (271.0,)), ([23, 15, 2, 51, 29, 27], (276.0,))] overall_top3=[([23, 44, 6, 35, 15, 42], (264.0,), 0), ([46, 4, 26, 30, 32, 41], (271.0,), 0), ([23, 15, 2, 51, 29, 27], (276.0,), 0)]
gen=1 nevals=47 stats={'avg': np.float64(293.0857142857143), 'std': np.float64(11.64197192077363), 'min': np.float64(252.0), 'max': np.float64(300.0)} top3=[([32, 55, 59, 51, 39, 26], (252.0,)), ([4, 27, 26, 30, 32, 41], (254.0,)), ([23, 44, 6, 35, 15, 42], (264.0,))] overall_top3=[([32, 55, 59, 51, 39, 26], (252.0,), 1), ([4, 27, 26, 30, 32, 41], (254.0,), 1), ([23, 44, 6, 35, 15, 42], (264.0,), 0)]
gen=2 nevals=45 stats={'avg': np.float64(285.0), 'std': np.float64(15.646085772486357), 'min': np.float64(252.0), 'max': np.float64(300.0)} top3=[([32, 55, 59, 51, 39, 26], (252.0,)), ([32, 55, 59, 51, 39, 26], (252.0,)), ([32, 55, 59, 51, 39, 26], (252.0,))] overall_top3=[([32, 55, 59, 51, 39, 26], (252.0,), 1), ([4, 27, 26, 30, 32, 41], (254.0,), 1), ([23, 44, 6, 35, 15, 42], (264.0,), 0)]
gen=3 nevals=49 stats={'avg': np.float64(276.5), 'std': np.float64(17.94575158637832), 'min': np.float64(242.0), 'max': np.float64(300.0)} top3=[([32, 55, 59, 33, 17, 26], (242.0,)), ([32, 43, 59, 33, 37, 26], (244.0,)), ([19, 34, 6, 33, 17, 41], (250.0,))] overall_top3=[([32, 55, 59, 33, 17, 26], (242.0,), 3), ([32, 43, 59, 33, 37, 26], (244.0,), 3), ([19, 34, 6, 33, 17, 41], (250.0,), 3)]
gen=4 nevals=50 stats={'avg': np.float64(271.24285714285713), 'std': np.float64(20.629684378366537), 'min': np.float64(242.0), 'max': np.float64(300.0)} top3=[([32, 55, 59, 33, 17, 26], (242.0,)), ([32, 55, 59, 33, 17, 26], (242.0,)), ([32, 55, 59, 33, 17, 26], (242.0,))] overall_top3=[([32, 55, 59, 33, 17, 26], (242.0,), 3), ([32, 43, 59, 33, 37, 26], (244.0,), 3), ([19, 34, 6, 33, 17, 41], (250.0,), 3)]
gen=5 nevals=40 stats={'avg': np.float64(262.1714285714286), 'std': np.float64(19.521395901911927), 'min': np.float64(242.0), 'max': np.float64(300.0)} top3=[([32, 55, 59, 33, 17, 26], (242.0,)), ([32, 55, 59, 33, 17, 26], (242.0,)), ([32, 55, 59, 33, 17, 26], (242.0,))] overall_top3=[([32, 55, 59, 33, 17, 26], (242.0,), 3), ([32, 43, 59, 33, 37, 26], (244.0,), 3), ([19, 34, 6, 33, 17, 41], (250.0,), 3)]
gen=6 nevals=38 stats={'avg': np.float64(257.3285714285714), 'std': np.float64(17.374629639276947), 'min': np.float64(242.0), 'max': np.float64(300.0)} top3=[([32, 55, 59, 33, 17, 26], (242.0,)), ([32, 55, 59, 33, 17, 26], (242.0,)), ([32, 55, 59, 33, 17, 26], (242.0,))] overall_top3=[([32, 55, 59, 33, 17, 26], (242.0,), 3), ([32, 43, 59, 33, 37, 26], (244.0,), 3), ([19, 34, 6, 33, 17, 41], (250.0,), 3)]
gen=7 nevals=42 stats={'avg': np.float64(250.37142857142857), 'std': np.float64(13.758292490163813), 'min': np.float64(242.0), 'max': np.float64(300.0)} top3=[([32, 55, 59, 33, 17, 26], (242.0,)), ([32, 55, 59, 33, 17, 26], (242.0,)), ([32, 55, 59, 33, 17, 26], (242.0,))] overall_top3=[([32, 55, 59, 33, 17, 26], (242.0,), 3), ([32, 43, 59, 33, 37, 26], (244.0,), 3), ([19, 34, 6, 33, 17, 41], (250.0,), 3)]
gen=8 nevals=46 stats={'avg': np.float64(248.72857142857143), 'std': np.float64(17.248330294819368), 'min': np.float64(242.0), 'max': np.float64(300.0)} top3=[([32, 55, 59, 33, 17, 26], (242.0,)), ([32, 55, 59, 33, 17, 26], (242.0,)), ([32, 55, 59, 33, 17, 26], (242.0,))] overall_top3=[([32, 55, 59, 33, 17, 26], (242.0,), 3), ([32, 43, 59, 33, 37, 26], (244.0,), 3), ([19, 34, 6, 33, 17, 41], (250.0,), 3)]
gen=9 nevals=37 stats={'avg': np.float64(248.63571428571427), 'std': np.float64(18.127311956699767), 'min': np.float64(242.0), 'max': np.float64(300.0)} top3=[([32, 55, 59, 33, 17, 26], (242.0,)), ([32, 55, 59, 33, 17, 26], (242.0,)), ([32, 55, 59, 33, 17, 26], (242.0,))] overall_top3=[([32, 55, 59, 33, 17, 26], (242.0,), 3), ([32, 43, 59, 33, 37, 26], (244.0,), 3), ([19, 34, 6, 33, 17, 41], (250.0,), 3)]
gen=10 nevals=44 stats={'avg': np.float64(246.64285714285714), 'std': np.float64(14.984788205077187), 'min': np.float64(242.0), 'max': np.float64(300.0)} top3=[([32, 55, 59, 33, 17, 26], (242.0,)), ([32, 55, 59, 33, 17, 26], (242.0,)), ([32, 55, 59, 33, 17, 26], (242.0,))] overall_top3=[([32, 55, 59, 33, 17, 26], (242.0,), 3), ([32, 43, 59, 33, 37, 26], (244.0,), 3), ([19, 34, 6, 33, 17, 41], (250.0,), 3)]
