# GA run_dir=experiments\ga_shelter\20251222-142334_5219104f
# mate=0.7 mutate=0.3 ngen=200 pop_n=60 tournsize=3
gen=0 nevals=60 stats={'avg': np.float64(153.95), 'std': np.float64(23.32982711751918), 'min': np.float64(110.0), 'max': np.float64(201.0)} top3=[([27, 67, 60, 45, 40, 28], (110.0,)), ([64, 28, 4, 55, 25, 39], (111.0,)), ([60, 58, 0, 51, 31, 39], (112.0,))] overall_top3=[([27, 67, 60, 45, 40, 28], (110.0,), 0), ([64, 28, 4, 55, 25, 39], (111.0,), 0), ([60, 58, 0, 51, 31, 39], (112.0,), 0)]
gen=1 nevals=48 stats={'avg': np.float64(147.33333333333334), 'std': np.float64(26.422633395548516), 'min': np.float64(84.0), 'max': np.float64(201.0)} top3=[([67, 33, 42, 21, 61, 43], (84.0,)), ([62, 54, 69, 2, 27, 60], (100.0,)), ([27, 67, 60, 45, 40, 28], (110.0,))] overall_top3=[([67, 33, 42, 21, 61, 43], (84.0,), 1), ([62, 54, 69, 2, 27, 60], (100.0,), 1), ([27, 67, 60, 45, 40, 28], (110.0,), 0)]
gen=2 nevals=53 stats={'avg': np.float64(148.46666666666667), 'std': np.float64(28.160531876290186), 'min': np.float64(84.0), 'max': np.float64(201.0)} top3=[([67, 33, 42, 21, 61, 43], (84.0,)), ([60, 43, 33, 51, 31, 39], (100.0,)), ([60, 49, 64, 24, 69, 47], (110.0,))] overall_top3=[([67, 33, 42, 21, 61, 43], (84.0,), 1), ([62, 54, 69, 2, 27, 60], (100.0,), 1), ([60, 43, 33, 51, 31, 39], (100.0,), 2)]
gen=3 nevals=46 stats={'avg': np.float64(143.88333333333333), 'std': np.float64(29.856932007305925), 'min': np.float64(87.0), 'max': np.float64(200.0)} top3=[([67, 33, 42, 24, 61, 43], (87.0,)), ([60, 43, 33, 51, 31, 39], (100.0,)), ([60, 43, 33, 51, 31, 39], (100.0,))] overall_top3=[([67, 33, 42, 21, 61, 43], (84.0,), 1), ([67, 33, 42, 24, 61, 43], (87.0,), 3), ([62, 54, 69, 2, 27, 60], (100.0,), 1)]
gen=4 nevals=44 stats={'avg': np.float64(138.4), 'std': np.float64(31.860738639690492), 'min': np.float64(100.0), 'max': np.float64(200.0)} top3=[([60, 43, 33, 51, 31, 39], (100.0,)), ([29, 43, 33, 51, 31, 39], (100.0,)), ([60, 43, 33, 51, 31, 39], (100.0,))] overall_top3=[([67, 33, 42, 21, 61, 43], (84.0,), 1), ([67, 33, 42, 24, 61, 43], (87.0,), 3), ([62, 54, 69, 2, 27, 60], (100.0,), 1)]
gen=5 nevals=48 stats={'avg': np.float64(130.7), 'std': np.float64(32.481943702104196), 'min': np.float64(100.0), 'max': np.float64(200.0)} top3=[([60, 43, 33, 51, 31, 39], (100.0,)), ([57, 43, 33, 51, 31, 39], (100.0,)), ([60, 43, 33, 51, 31, 39], (100.0,))] overall_top3=[([67, 33, 42, 21, 61, 43], (84.0,), 1), ([67, 33, 42, 24, 61, 43], (87.0,), 3), ([62, 54, 69, 2, 27, 60], (100.0,), 1)]
gen=6 nevals=47 stats={'avg': np.float64(123.81666666666666), 'std': np.float64(32.659603828310935), 'min': np.float64(92.0), 'max': np.float64(200.0)} top3=[([67, 38, 69, 32, 31, 50], (92.0,)), ([27, 49, 60, 2, 69, 50], (98.0,)), ([62, 54, 0, 51, 69, 39], (98.0,))] overall_top3=[([67, 33, 42, 21, 61, 43], (84.0,), 1), ([67, 33, 42, 24, 61, 43], (87.0,), 3), ([67, 38, 69, 32, 31, 50], (92.0,), 6)]
gen=7 nevals=52 stats={'avg': np.float64(127.8), 'std': np.float64(36.66642424162283), 'min': np.float64(92.0), 'max': np.float64(200.0)} top3=[([67, 38, 69, 32, 31, 50], (92.0,)), ([67, 43, 33, 51, 31, 39], (98.0,)), ([62, 54, 0, 51, 69, 39], (98.0,))] overall_top3=[([67, 33, 42, 21, 61, 43], (84.0,), 1), ([67, 33, 42, 24, 61, 43], (87.0,), 3), ([67, 38, 69, 32, 31, 50], (92.0,), 6)]
gen=8 nevals=45 stats={'avg': np.float64(126.95), 'std': np.float64(36.10559744231726), 'min': np.float64(92.0), 'max': np.float64(200.0)} top3=[([67, 38, 69, 32, 31, 50], (92.0,)), ([67, 38, 69, 32, 31, 50], (92.0,)), ([67, 38, 64, 51, 31, 39], (93.0,))] overall_top3=[([67, 33, 42, 21, 61, 43], (84.0,), 1), ([67, 33, 42, 24, 61, 43], (87.0,), 3), ([67, 38, 69, 32, 31, 50], (92.0,), 6)]
gen=9 nevals=50 stats={'avg': np.float64(115.56666666666666), 'std': np.float64(29.476186245095473), 'min': np.float64(93.0), 'max': np.float64(200.0)} top3=[([67, 38, 64, 51, 31, 39], (93.0,)), ([27, 43, 33, 51, 34, 21], (98.0,)), ([27, 43, 33, 51, 34, 21], (98.0,))] overall_top3=[([67, 33, 42, 21, 61, 43], (84.0,), 1), ([67, 33, 42, 24, 61, 43], (87.0,), 3), ([67, 38, 69, 32, 31, 50], (92.0,), 6)]
gen=10 nevals=43 stats={'avg': np.float64(107.26666666666667), 'std': np.float64(19.659490216065002), 'min': np.float64(93.0), 'max': np.float64(200.0)} top3=[([67, 38, 64, 51, 31, 39], (93.0,)), ([62, 54, 33, 51, 69, 39], (96.0,)), ([67, 38, 64, 51, 69, 39], (97.0,))] overall_top3=[([67, 33, 42, 21, 61, 43], (84.0,), 1), ([67, 33, 42, 24, 61, 43], (87.0,), 3), ([67, 38, 69, 32, 31, 50], (92.0,), 6)]
gen=11 nevals=49 stats={'avg': np.float64(112.8), 'std': np.float64(25.750598698541623), 'min': np.float64(96.0), 'max': np.float64(200.0)} top3=[([62, 54, 33, 51, 69, 39], (96.0,)), ([67, 38, 64, 51, 34, 21], (96.0,)), ([62, 54, 33, 51, 69, 39], (96.0,))] overall_top3=[([67, 33, 42, 21, 61, 43], (84.0,), 1), ([67, 33, 42, 24, 61, 43], (87.0,), 3), ([67, 38, 69, 32, 31, 50], (92.0,), 6)]
gen=12 nevals=46 stats={'avg': np.float64(108.95), 'std': np.float64(21.672121108311785), 'min': np.float64(96.0), 'max': np.float64(200.0)} top3=[([62, 54, 33, 51, 69, 39], (96.0,)), ([62, 54, 33, 51, 69, 39], (96.0,)), ([62, 54, 33, 51, 69, 39], (96.0,))] overall_top3=[([67, 33, 42, 21, 61, 43], (84.0,), 1), ([67, 33, 42, 24, 61, 43], (87.0,), 3), ([67, 38, 69, 32, 31, 50], (92.0,), 6)]
gen=13 nevals=50 stats={'avg': np.float64(104.06666666666666), 'std': np.float64(13.84300866462522), 'min': np.float64(90.0), 'max': np.float64(179.0)} top3=[([67, 31, 33, 51, 69, 39], (90.0,)), ([62, 54, 33, 51, 69, 39], (96.0,)), ([62, 54, 33, 51, 69, 39], (96.0,))] overall_top3=[([67, 33, 42, 21, 61, 43], (84.0,), 1), ([67, 33, 42, 24, 61, 43], (87.0,), 3), ([67, 31, 33, 51, 69, 39], (90.0,), 13)]
gen=14 nevals=53 stats={'avg': np.float64(102.36666666666666), 'std': np.float64(18.706475408858353), 'min': np.float64(90.0), 'max': np.float64(198.0)} top3=[([67, 31, 33, 51, 69, 39], (90.0,)), ([67, 38, 64, 51, 31, 21], (90.0,)), ([67, 31, 33, 51, 69, 39], (90.0,))] overall_top3=[([67, 33, 42, 21, 61, 43], (84.0,), 1), ([67, 33, 42, 24, 61, 43], (87.0,), 3), ([67, 31, 33, 51, 69, 39], (90.0,), 13)]
gen=15 nevals=43 stats={'avg': np.float64(102.76666666666667), 'std': np.float64(22.77086344920241), 'min': np.float64(88.0), 'max': np.float64(200.0)} top3=[([67, 54, 33, 51, 69, 45], (88.0,)), ([67, 31, 33, 51, 69, 39], (90.0,)), ([67, 38, 64, 51, 31, 21], (90.0,))] overall_top3=[([67, 33, 42, 21, 61, 43], (84.0,), 1), ([67, 33, 42, 24, 61, 43], (87.0,), 3), ([67, 54, 33, 51, 69, 45], (88.0,), 15)]
gen=16 nevals=54 stats={'avg': np.float64(100.1), 'std': np.float64(20.29014539129772), 'min': np.float64(88.0), 'max': np.float64(200.0)} top3=[([67, 54, 33, 51, 69, 45], (88.0,)), ([67, 54, 33, 51, 69, 45], (88.0,)), ([67, 54, 33, 51, 69, 45], (88.0,))] overall_top3=[([67, 33, 42, 21, 61, 43], (84.0,), 1), ([67, 33, 42, 24, 61, 43], (87.0,), 3), ([67, 54, 33, 51, 69, 45], (88.0,), 15)]
gen=17 nevals=43 stats={'avg': np.float64(95.03333333333333), 'std': np.float64(12.999957264887025), 'min': np.float64(86.0), 'max': np.float64(160.0)} top3=[([67, 45, 33, 51, 69, 39], (86.0,)), ([67, 31, 33, 51, 69, 24], (87.0,)), ([67, 54, 33, 51, 69, 45], (88.0,))] overall_top3=[([67, 33, 42, 21, 61, 43], (84.0,), 1), ([67, 45, 33, 51, 69, 39], (86.0,), 17), ([67, 33, 42, 24, 61, 43], (87.0,), 3)]
gen=18 nevals=44 stats={'avg': np.float64(96.81666666666666), 'std': np.float64(19.422917448782563), 'min': np.float64(86.0), 'max': np.float64(200.0)} top3=[([67, 45, 33, 51, 69, 39], (86.0,)), ([67, 31, 33, 51, 69, 24], (87.0,)), ([67, 31, 33, 51, 69, 24], (87.0,))] overall_top3=[([67, 33, 42, 21, 61, 43], (84.0,), 1), ([67, 45, 33, 51, 69, 39], (86.0,), 17), ([67, 33, 42, 24, 61, 43], (87.0,), 3)]
gen=19 nevals=44 stats={'avg': np.float64(95.25), 'std': np.float64(17.028040599748014), 'min': np.float64(86.0), 'max': np.float64(200.0)} top3=[([67, 45, 33, 51, 69, 39], (86.0,)), ([67, 54, 33, 51, 69, 15], (86.0,)), ([67, 31, 33, 51, 69, 24], (87.0,))] overall_top3=[([67, 33, 42, 21, 61, 43], (84.0,), 1), ([67, 45, 33, 51, 69, 39], (86.0,), 17), ([67, 54, 33, 51, 69, 15], (86.0,), 19)]
gen=20 nevals=47 stats={'avg': np.float64(93.55), 'std': np.float64(19.219282851691773), 'min': np.float64(86.0), 'max': np.float64(200.0)} top3=[([67, 45, 33, 51, 69, 39], (86.0,)), ([67, 54, 33, 51, 69, 15], (86.0,)), ([67, 54, 33, 51, 69, 15], (86.0,))] overall_top3=[([67, 33, 42, 21, 61, 43], (84.0,), 1), ([67, 45, 33, 51, 69, 39], (86.0,), 17), ([67, 54, 33, 51, 69, 15], (86.0,), 19)]
gen=21 nevals=40 stats={'avg': np.float64(94.61666666666666), 'std': np.float64(21.2830853548592), 'min': np.float64(86.0), 'max': np.float64(200.0)} top3=[([67, 54, 33, 51, 69, 15], (86.0,)), ([67, 54, 33, 51, 69, 15], (86.0,)), ([67, 54, 33, 51, 69, 15], (86.0,))] overall_top3=[([67, 33, 42, 21, 61, 43], (84.0,), 1), ([67, 45, 33, 51, 69, 39], (86.0,), 17), ([67, 54, 33, 51, 69, 15], (86.0,), 19)]
