population_size,crossover_prob,mutation_prob
87,0.850353189,0.187225409
65,0.640483117,0.090989204
49,0.657246312,0.260041973
67,0.932742203,0.225142324
42,0.502128586,0.213185105
52,0.669017772,0.155356751
56,0.701523413,0.221205207
69,0.58543832,0.031949057
39,0.799306011,0.251668826
44,0.79510305,0.202548182
59,0.736777142,0.280251924
50,0.723524117,0.13234917
61,0.697132162,0.106583544
41,0.665967966,0.157367357
75,0.409816509,0.197875828
89,0.819587103,0.150410059
52,0.58667887,0.160359798
82,0.827446415,0.210592881
57,0.597670469,0.189779934
81,0.543268532,0.221279059
33,0.726879775,0.199687123
43,0.606923283,0.138944149
47,0.783578659,0.136457823
76,0.716928916,0.199432421
72,0.811111578,0.16558269
85,0.734429551,0.170161352
77,0.839879289,0.096629146
30,0.802685961,0.210446666
51,0.695994175,0.160288326
76,0.720612737,0.148068698
62,0.63535532,0.236586755
70,0.634015062,0.177273387
90,0.739335782,0.275557218
83,0.736973731,0.211451136
40,0.817031949,0.20693206
42,0.722615571,0.137657625
35,0.585900844,0.076767936
88,0.499875983,0.249238614
41,0.718139914,0.16527788
82,0.603109779,0.212875404
81,0.592043889,0.183098495
60,0.609399086,0.186819082
42,0.600649252,0.206840642
33,0.867207402,0.117724581
61,0.961863613,0.128279829
71,0.578397596,0.291271233
45,0.885429528,0.111285355
85,0.849283787,0.217381516
44,0.84385056,0.079157885
32,0.790425891,0.100880641
